"ID","new_user","country","age","source","pages_visited"
237261,"Yes","USA",19,"SEO",1
237262,"Yes","USA",23,"SEO",3
237263,"Yes","USA",39,"direct",1
237264,"Yes","CHN",21,"ads",5
237265,"No","DEU",26,"SEO",2
237266,"Yes","CHN",43,"direct",7
237267,"Yes","USA",31,"SEO",4
237268,"Yes","GBR",39,"SEO",6
237269,"Yes","CHN",32,"direct",2
237270,"Yes","CHN",21,"ads",2
237271,"No","GBR",33,"SEO",9
237272,"No","USA",25,"direct",8
237273,"No","USA",31,"direct",3
237274,"No","USA",40,"SEO",1
237275,"No","CHN",23,"SEO",4
237276,"Yes","DEU",17,"direct",2
237277,"Yes","USA",18,"ads",7
237278,"Yes","USA",43,"SEO",12
237279,"Yes","USA",18,"SEO",10
237280,"Yes","CHN",35,"direct",1
237281,"Yes","GBR",28,"direct",3
237282,"Yes","GBR",26,"ads",5
237283,"Yes","CHN",30,"SEO",5
237284,"No","USA",36,"ads",1
237285,"Yes","CHN",28,"SEO",3
237286,"No","GBR",37,"ads",4
237287,"No","USA",33,"SEO",8
237288,"Yes","CHN",31,"SEO",8
237289,"No","USA",31,"SEO",2
237290,"No","USA",29,"ads",5
237291,"No","GBR",28,"SEO",7
237292,"Yes","USA",44,"ads",1
237293,"No","CHN",30,"SEO",5
237294,"Yes","CHN",35,"direct",3
237295,"No","USA",31,"direct",5
237296,"Yes","USA",23,"SEO",9
237297,"Yes","USA",28,"ads",4
237298,"Yes","USA",37,"SEO",8
237299,"No","CHN",29,"ads",10
237300,"Yes","CHN",32,"ads",2
237301,"No","USA",37,"ads",2
237302,"Yes","DEU",35,"SEO",7
237303,"Yes","GBR",29,"SEO",6
237304,"No","USA",31,"SEO",12
237305,"Yes","USA",27,"direct",6
237306,"No","USA",22,"SEO",4
237307,"Yes","CHN",21,"SEO",14
237308,"Yes","GBR",34,"direct",7
237309,"Yes","USA",24,"ads",2
237310,"Yes","USA",40,"direct",1
237311,"Yes","CHN",39,"direct",7
237312,"No","USA",38,"direct",1
237313,"No","CHN",27,"direct",5
237314,"No","USA",26,"direct",17
237315,"Yes","CHN",23,"SEO",3
237316,"No","GBR",48,"ads",2
237317,"Yes","USA",34,"SEO",8
237318,"Yes","DEU",41,"direct",4
237319,"Yes","GBR",29,"ads",1
237320,"Yes","CHN",33,"ads",7
237321,"Yes","USA",36,"direct",4
237322,"Yes","USA",39,"SEO",3
237323,"No","CHN",34,"ads",1
237324,"Yes","GBR",28,"SEO",1
237325,"No","USA",26,"ads",4
237326,"Yes","USA",19,"ads",2
237327,"Yes","CHN",26,"SEO",4
237328,"No","GBR",18,"SEO",4
237329,"No","USA",26,"direct",2
237330,"Yes","DEU",29,"SEO",3
237331,"Yes","GBR",31,"SEO",10
237332,"No","GBR",19,"ads",18
237333,"Yes","GBR",23,"direct",1
237334,"No","USA",20,"SEO",9
237335,"No","USA",31,"direct",4
237336,"Yes","DEU",34,"SEO",1
237337,"No","GBR",23,"ads",4
237338,"Yes","CHN",44,"SEO",5
237339,"Yes","CHN",30,"SEO",8
237340,"Yes","USA",42,"ads",5
237341,"No","USA",27,"ads",4
237342,"Yes","USA",37,"direct",2
237343,"Yes","CHN",21,"SEO",5
237344,"Yes","CHN",41,"ads",1
237345,"Yes","GBR",33,"ads",2
237346,"No","CHN",26,"SEO",2
237347,"No","GBR",34,"ads",5
237348,"No","GBR",41,"SEO",6
237349,"Yes","USA",36,"SEO",4
237350,"Yes","USA",29,"SEO",1
237351,"Yes","USA",23,"direct",7
237352,"Yes","USA",40,"SEO",2
237353,"No","CHN",25,"SEO",5
237354,"No","USA",52,"ads",8
237355,"No","GBR",29,"direct",8
237356,"Yes","USA",32,"direct",11
237357,"Yes","CHN",39,"ads",1
237358,"Yes","DEU",25,"SEO",10
237359,"No","CHN",35,"ads",2
237360,"No","DEU",22,"SEO",7
237361,"Yes","CHN",23,"SEO",10
237362,"Yes","GBR",39,"SEO",4
237363,"Yes","USA",26,"SEO",6
237364,"No","USA",25,"SEO",11
237365,"Yes","USA",42,"direct",4
237366,"Yes","USA",24,"SEO",10
237367,"Yes","GBR",36,"SEO",7
237368,"No","GBR",19,"direct",1
237369,"Yes","USA",21,"direct",4
237370,"Yes","USA",18,"SEO",3
237371,"Yes","CHN",21,"SEO",19
237372,"Yes","USA",46,"SEO",2
237373,"Yes","DEU",41,"SEO",5
237374,"Yes","USA",19,"ads",2
237375,"Yes","GBR",27,"ads",5
237376,"Yes","CHN",29,"SEO",5
237377,"Yes","CHN",48,"SEO",2
237378,"Yes","USA",23,"SEO",1
237379,"Yes","CHN",46,"SEO",5
237380,"Yes","USA",28,"SEO",5
237381,"Yes","USA",55,"SEO",7
237382,"Yes","DEU",36,"SEO",5
237383,"Yes","GBR",18,"ads",9
237384,"Yes","DEU",28,"SEO",3
237385,"Yes","CHN",38,"SEO",9
237386,"Yes","USA",44,"SEO",6
237387,"Yes","CHN",20,"SEO",3
237388,"Yes","USA",24,"direct",4
237389,"Yes","USA",20,"SEO",2
237390,"Yes","USA",37,"direct",7
237391,"No","USA",19,"SEO",14
237392,"Yes","USA",18,"ads",8
237393,"Yes","USA",42,"SEO",4
237394,"No","USA",27,"direct",6
237395,"No","USA",26,"ads",4
237396,"Yes","CHN",21,"SEO",2
237397,"No","CHN",20,"SEO",13
237398,"Yes","USA",31,"ads",6
237399,"Yes","USA",26,"ads",5
237400,"Yes","USA",32,"direct",4
237401,"Yes","USA",39,"direct",1
237402,"No","USA",27,"SEO",17
237403,"Yes","CHN",40,"SEO",5
237404,"Yes","USA",23,"direct",7
237405,"Yes","GBR",25,"direct",3
237406,"Yes","USA",33,"direct",11
237407,"Yes","USA",22,"SEO",3
237408,"Yes","CHN",28,"SEO",2
237409,"Yes","USA",35,"SEO",4
237410,"No","USA",20,"SEO",1
237411,"No","USA",35,"SEO",8
237412,"No","CHN",30,"SEO",4
237413,"Yes","CHN",27,"SEO",4
237414,"No","USA",46,"SEO",2
237415,"No","USA",26,"direct",2
237416,"Yes","CHN",27,"direct",7
237417,"Yes","USA",36,"SEO",4
237418,"Yes","USA",51,"SEO",6
237419,"Yes","USA",34,"SEO",6
237420,"Yes","CHN",45,"direct",9
237421,"Yes","DEU",31,"SEO",6
237422,"Yes","GBR",18,"ads",5
237423,"Yes","GBR",23,"ads",2
237424,"Yes","CHN",34,"ads",5
237425,"No","USA",40,"SEO",4
237426,"Yes","GBR",24,"direct",5
237427,"Yes","CHN",31,"SEO",11
237428,"Yes","GBR",27,"SEO",11
237429,"Yes","GBR",33,"SEO",5
237430,"Yes","GBR",38,"SEO",5
237431,"Yes","USA",29,"direct",2
237432,"No","CHN",25,"direct",3
237433,"No","CHN",20,"direct",1
237434,"Yes","CHN",38,"SEO",3
237435,"Yes","GBR",52,"SEO",7
237436,"Yes","GBR",25,"ads",12
237437,"Yes","USA",41,"ads",7
237438,"Yes","USA",30,"SEO",2
237439,"Yes","CHN",29,"direct",1
237440,"Yes","GBR",32,"direct",3
237441,"Yes","CHN",28,"ads",5
237442,"Yes","CHN",23,"ads",8
237443,"Yes","CHN",30,"SEO",3
237444,"No","USA",54,"ads",2
237445,"Yes","GBR",28,"ads",4
237446,"No","USA",32,"SEO",5
237447,"No","USA",18,"ads",1
237448,"No","USA",29,"direct",5
237449,"Yes","CHN",37,"direct",8
237450,"Yes","USA",31,"SEO",8
237451,"No","USA",20,"SEO",5
237452,"Yes","USA",43,"SEO",1
237453,"No","USA",33,"direct",5
237454,"Yes","DEU",45,"SEO",1
237455,"Yes","USA",30,"SEO",3
237456,"No","CHN",32,"ads",8
237457,"Yes","CHN",26,"SEO",4
237458,"Yes","USA",38,"SEO",2
237459,"No","USA",42,"direct",2
237460,"No","CHN",45,"ads",7
237461,"Yes","CHN",36,"ads",5
237462,"Yes","CHN",27,"SEO",4
237463,"Yes","USA",31,"SEO",1
237464,"Yes","USA",22,"direct",4
237465,"No","USA",34,"ads",1
237466,"Yes","CHN",41,"SEO",6
237467,"No","USA",19,"SEO",2
237468,"No","CHN",19,"ads",6
237469,"Yes","GBR",27,"SEO",4
237470,"No","CHN",28,"SEO",4
237471,"Yes","USA",20,"SEO",9
237472,"No","CHN",34,"SEO",3
237473,"No","USA",23,"ads",8
237474,"No","USA",35,"direct",2
237475,"Yes","USA",26,"SEO",10
237476,"Yes","DEU",37,"SEO",1
237477,"Yes","USA",22,"direct",11
237478,"Yes","GBR",38,"direct",3
237479,"No","USA",28,"ads",2
237480,"Yes","CHN",24,"SEO",9
237481,"No","USA",23,"SEO",1
237482,"No","USA",29,"direct",3
237483,"No","CHN",22,"ads",2
237484,"Yes","GBR",44,"SEO",9
237485,"No","CHN",29,"SEO",2
237486,"No","USA",28,"direct",3
237487,"No","USA",47,"SEO",1
237488,"Yes","USA",29,"direct",3
237489,"Yes","CHN",45,"direct",2
237490,"No","CHN",35,"SEO",11
237491,"Yes","CHN",24,"ads",6
237492,"Yes","GBR",38,"SEO",1
237493,"Yes","USA",37,"SEO",10
237494,"Yes","USA",26,"ads",3
237495,"Yes","USA",35,"direct",6
237496,"Yes","USA",43,"direct",2
237497,"Yes","GBR",21,"SEO",5
237498,"Yes","GBR",29,"SEO",1
237499,"No","CHN",26,"SEO",2
237500,"Yes","CHN",17,"direct",7
237501,"No","CHN",37,"ads",8
237502,"Yes","GBR",21,"SEO",6
237503,"Yes","USA",44,"ads",2
237504,"Yes","USA",38,"SEO",5
237505,"No","USA",28,"SEO",7
237506,"Yes","CHN",26,"SEO",3
237507,"No","USA",28,"SEO",9
237508,"No","CHN",34,"ads",7
237509,"Yes","USA",39,"SEO",4
237510,"No","USA",26,"ads",8
237511,"No","DEU",31,"SEO",4
237512,"Yes","USA",30,"ads",1
237513,"Yes","USA",25,"SEO",3
237514,"Yes","GBR",29,"SEO",4
237515,"Yes","USA",21,"SEO",1
237516,"Yes","GBR",45,"SEO",5
237517,"No","USA",23,"direct",2
237518,"No","GBR",44,"direct",4
237519,"No","DEU",28,"ads",12
237520,"No","GBR",18,"direct",4
237521,"No","CHN",27,"SEO",1
237522,"No","USA",38,"direct",5
237523,"Yes","USA",26,"SEO",11
237524,"Yes","USA",39,"direct",3
237525,"No","USA",18,"SEO",1
237526,"No","USA",43,"direct",3
237527,"No","USA",30,"direct",9
237528,"Yes","CHN",41,"SEO",12
237529,"No","DEU",31,"SEO",1
237530,"Yes","CHN",31,"SEO",2
237531,"Yes","CHN",18,"ads",7
237532,"Yes","GBR",28,"SEO",5
237533,"No","USA",27,"SEO",5
237534,"Yes","USA",19,"ads",9
237535,"No","DEU",18,"direct",8
237536,"No","GBR",25,"SEO",9
237537,"Yes","USA",22,"ads",5
237538,"Yes","GBR",30,"ads",8
237539,"Yes","GBR",31,"SEO",4
237540,"No","CHN",37,"direct",7
237541,"No","USA",41,"SEO",5
237542,"Yes","GBR",22,"ads",2
237543,"Yes","USA",36,"ads",7
237544,"Yes","USA",41,"direct",1
237545,"Yes","CHN",22,"ads",1
237546,"Yes","USA",39,"ads",1
237547,"No","USA",24,"direct",8
237548,"Yes","USA",31,"SEO",7
237549,"No","USA",49,"direct",4
237550,"Yes","GBR",26,"SEO",8
237551,"Yes","CHN",19,"direct",1
237552,"Yes","USA",51,"ads",6
237553,"No","CHN",29,"SEO",4
237554,"Yes","CHN",41,"SEO",1
237555,"No","USA",35,"ads",4
237556,"Yes","CHN",26,"ads",3
237557,"Yes","USA",33,"direct",1
237558,"No","CHN",34,"SEO",4
237559,"Yes","USA",25,"direct",7
237560,"Yes","USA",24,"ads",4
237561,"Yes","CHN",39,"SEO",2
237562,"No","GBR",17,"ads",6
237563,"No","GBR",22,"ads",7
237564,"Yes","USA",25,"SEO",4
237565,"Yes","GBR",35,"direct",7
237566,"No","CHN",35,"ads",3
237567,"Yes","GBR",21,"SEO",7
237568,"Yes","USA",36,"SEO",2
237569,"Yes","USA",36,"direct",5
237570,"Yes","USA",23,"ads",9
237571,"Yes","CHN",35,"direct",2
237572,"Yes","USA",36,"SEO",5
237573,"Yes","CHN",31,"SEO",4
237574,"Yes","CHN",27,"SEO",2
237575,"No","USA",34,"SEO",2
237576,"No","USA",27,"ads",2
237577,"Yes","CHN",18,"direct",6
237578,"Yes","CHN",21,"SEO",4
237579,"No","CHN",33,"ads",1
237580,"Yes","USA",49,"SEO",2
237581,"Yes","DEU",29,"ads",3
237582,"Yes","CHN",17,"direct",1
237583,"Yes","USA",21,"SEO",6
237584,"Yes","CHN",23,"SEO",6
237585,"Yes","USA",22,"SEO",2
237586,"No","USA",36,"SEO",5
237587,"Yes","USA",44,"SEO",4
237588,"Yes","CHN",39,"SEO",4
237589,"Yes","USA",20,"SEO",3
237590,"Yes","USA",37,"SEO",4
237591,"No","USA",25,"ads",3
237592,"Yes","USA",36,"direct",5
237593,"Yes","USA",23,"direct",4
237594,"Yes","USA",31,"ads",12
237595,"Yes","GBR",32,"SEO",6
237596,"No","GBR",21,"ads",7
237597,"Yes","CHN",32,"ads",5
237598,"No","USA",42,"SEO",1
237599,"No","USA",30,"ads",2
237600,"Yes","USA",45,"direct",4
237601,"Yes","GBR",35,"direct",7
237602,"Yes","USA",36,"SEO",5
237603,"Yes","USA",38,"ads",8
237604,"Yes","USA",25,"direct",7
237605,"Yes","USA",38,"direct",3
237606,"No","USA",40,"ads",3
237607,"Yes","USA",30,"direct",1
237608,"No","CHN",33,"SEO",8
237609,"Yes","CHN",32,"ads",3
237610,"Yes","GBR",30,"SEO",10
237611,"Yes","DEU",30,"ads",6
237612,"No","USA",35,"SEO",2
237613,"No","USA",31,"direct",2
237614,"Yes","USA",35,"ads",5
237615,"No","DEU",21,"direct",1
237616,"Yes","CHN",28,"direct",3
237617,"Yes","USA",43,"ads",7
237618,"No","USA",18,"ads",7
237619,"No","GBR",18,"SEO",1
237620,"Yes","USA",29,"SEO",1
237621,"Yes","USA",21,"SEO",2
237622,"Yes","USA",19,"ads",6
237623,"Yes","USA",43,"ads",8
237624,"Yes","USA",25,"ads",5
237625,"Yes","USA",37,"direct",5
237626,"Yes","USA",32,"SEO",1
237627,"No","USA",19,"SEO",7
237628,"Yes","GBR",36,"ads",5
237629,"Yes","GBR",25,"direct",10
237630,"Yes","GBR",21,"direct",3
237631,"No","USA",25,"SEO",3
237632,"Yes","USA",27,"SEO",2
237633,"Yes","CHN",24,"direct",2
237634,"No","USA",41,"direct",8
237635,"Yes","GBR",32,"SEO",1
237636,"No","USA",37,"SEO",1
237637,"Yes","CHN",25,"SEO",6
237638,"No","USA",27,"SEO",13
237639,"Yes","GBR",25,"direct",6
237640,"Yes","GBR",19,"SEO",6
237641,"Yes","USA",46,"direct",3
237642,"No","USA",21,"direct",2
237643,"Yes","USA",21,"SEO",3
237644,"Yes","USA",24,"direct",3
237645,"No","USA",22,"ads",1
237646,"Yes","USA",20,"direct",4
237647,"Yes","CHN",32,"ads",4
237648,"Yes","USA",27,"SEO",7
237649,"No","USA",25,"ads",8
237650,"Yes","GBR",32,"SEO",3
237651,"Yes","GBR",41,"direct",7
237652,"Yes","USA",20,"SEO",1
237653,"Yes","USA",31,"direct",3
237654,"Yes","USA",30,"SEO",3
237655,"Yes","GBR",40,"direct",8
237656,"No","USA",23,"direct",2
237657,"No","USA",26,"SEO",1
237658,"Yes","CHN",29,"direct",6
237659,"Yes","CHN",37,"ads",6
237660,"Yes","USA",23,"direct",4
237661,"No","USA",22,"ads",5
237662,"Yes","GBR",27,"ads",4
237663,"Yes","GBR",19,"ads",2
237664,"No","CHN",18,"SEO",9
237665,"No","CHN",28,"ads",3
237666,"No","USA",18,"SEO",1
237667,"Yes","GBR",26,"SEO",16
237668,"Yes","CHN",27,"ads",5
237669,"Yes","USA",28,"SEO",2
237670,"Yes","USA",28,"SEO",6
237671,"Yes","GBR",20,"SEO",4
237672,"Yes","CHN",43,"SEO",3
237673,"Yes","GBR",24,"SEO",6
237674,"Yes","USA",26,"ads",3
237675,"Yes","USA",28,"SEO",3
237676,"No","DEU",19,"direct",10
237677,"Yes","USA",46,"ads",6
237678,"No","USA",40,"ads",6
237679,"Yes","GBR",25,"direct",2
237680,"Yes","CHN",35,"SEO",11
237681,"Yes","GBR",42,"direct",2
237682,"No","CHN",31,"SEO",1
237683,"Yes","USA",34,"SEO",1
237684,"Yes","USA",30,"SEO",6
237685,"No","USA",36,"direct",7
237686,"Yes","USA",33,"direct",4
237687,"Yes","USA",43,"SEO",3
237688,"No","USA",31,"SEO",12
237689,"Yes","GBR",34,"ads",10
237690,"Yes","CHN",23,"SEO",4
237691,"Yes","USA",43,"SEO",13
237692,"Yes","USA",35,"ads",12
237693,"Yes","CHN",34,"ads",4
237694,"Yes","USA",37,"ads",7
237695,"No","USA",24,"direct",19
237696,"Yes","GBR",38,"direct",2
237697,"Yes","GBR",41,"SEO",4
237698,"Yes","USA",31,"ads",5
237699,"Yes","GBR",29,"ads",3
237700,"Yes","USA",33,"SEO",5
237701,"Yes","USA",23,"SEO",1
237702,"No","USA",40,"direct",6
237703,"Yes","USA",21,"SEO",3
237704,"No","USA",41,"SEO",1
237705,"Yes","GBR",38,"direct",5
237706,"No","USA",32,"SEO",4
237707,"No","CHN",31,"direct",13
237708,"Yes","DEU",18,"ads",9
237709,"Yes","CHN",21,"SEO",4
237710,"Yes","USA",34,"SEO",1
237711,"No","USA",32,"SEO",9
237712,"Yes","USA",31,"direct",2
237713,"No","USA",30,"SEO",7
237714,"Yes","USA",19,"direct",3
237715,"Yes","USA",19,"SEO",7
237716,"Yes","GBR",19,"SEO",5
237717,"Yes","CHN",36,"SEO",7
237718,"Yes","USA",33,"SEO",7
237719,"Yes","USA",37,"SEO",7
237720,"No","USA",29,"direct",5
237721,"Yes","CHN",31,"SEO",3
237722,"No","USA",30,"direct",5
237723,"Yes","DEU",30,"ads",1
237724,"No","USA",30,"direct",13
237725,"No","CHN",34,"SEO",3
237726,"No","USA",26,"ads",3
237727,"No","USA",31,"SEO",5
237728,"Yes","USA",31,"SEO",1
237729,"Yes","DEU",19,"SEO",4
237730,"Yes","USA",45,"SEO",9
237731,"Yes","USA",24,"SEO",6
237732,"Yes","USA",35,"direct",5
237733,"No","USA",29,"ads",9
237734,"Yes","USA",22,"SEO",5
237735,"Yes","USA",31,"direct",4
237736,"Yes","GBR",25,"SEO",2
237737,"Yes","CHN",21,"SEO",1
237738,"No","USA",37,"ads",9
237739,"No","DEU",24,"SEO",20
237740,"Yes","USA",43,"SEO",3
237741,"No","GBR",35,"SEO",1
237742,"Yes","USA",25,"SEO",4
237743,"No","USA",35,"SEO",4
237744,"Yes","USA",27,"ads",3
237745,"Yes","USA",27,"SEO",2
237746,"No","GBR",28,"SEO",3
237747,"Yes","GBR",39,"ads",2
237748,"Yes","DEU",48,"ads",4
237749,"Yes","CHN",40,"direct",8
237750,"Yes","DEU",23,"SEO",10
237751,"No","CHN",17,"direct",6
237752,"Yes","GBR",58,"ads",4
237753,"Yes","USA",24,"SEO",7
237754,"Yes","CHN",29,"ads",6
237755,"No","USA",24,"ads",18
237756,"Yes","USA",28,"ads",3
237757,"Yes","GBR",22,"ads",1
237758,"Yes","USA",17,"SEO",9
237759,"Yes","GBR",22,"SEO",10
237760,"Yes","USA",35,"direct",2
237761,"No","USA",36,"ads",7
237762,"Yes","USA",38,"direct",4
237763,"Yes","CHN",25,"ads",6
237764,"Yes","GBR",41,"SEO",5
237765,"Yes","USA",41,"direct",8
237766,"No","USA",17,"ads",7
237767,"Yes","GBR",33,"direct",8
237768,"Yes","CHN",44,"SEO",5
237769,"No","USA",41,"ads",9
237770,"Yes","USA",25,"SEO",2
237771,"No","USA",35,"SEO",8
237772,"No","USA",31,"SEO",4
237773,"No","CHN",25,"SEO",5
237774,"Yes","USA",24,"SEO",3
237775,"No","USA",28,"ads",2
237776,"Yes","CHN",30,"direct",1
237777,"Yes","CHN",46,"direct",2
237778,"Yes","USA",26,"SEO",7
237779,"Yes","GBR",47,"SEO",1
237780,"Yes","USA",38,"SEO",7
237781,"Yes","CHN",29,"SEO",3
237782,"Yes","USA",24,"ads",3
237783,"Yes","CHN",38,"SEO",5
237784,"No","USA",24,"direct",6
237785,"No","USA",32,"SEO",1
237786,"Yes","CHN",28,"direct",9
237787,"Yes","USA",24,"SEO",4
237788,"Yes","CHN",25,"SEO",7
237789,"Yes","CHN",19,"direct",3
237790,"Yes","USA",41,"SEO",5
237791,"No","USA",21,"direct",12
237792,"No","USA",32,"ads",6
237793,"Yes","USA",37,"ads",1
237794,"Yes","CHN",26,"SEO",1
237795,"Yes","CHN",35,"SEO",8
237796,"No","CHN",33,"SEO",3
237797,"No","CHN",32,"ads",2
237798,"Yes","USA",24,"SEO",5
237799,"Yes","USA",38,"direct",4
237800,"Yes","USA",24,"SEO",2
237801,"No","USA",36,"SEO",3
237802,"No","CHN",29,"SEO",2
237803,"No","CHN",33,"direct",15
237804,"Yes","GBR",32,"SEO",3
237805,"Yes","USA",17,"SEO",3
237806,"Yes","CHN",17,"SEO",8
237807,"Yes","USA",26,"SEO",13
237808,"Yes","USA",23,"ads",3
237809,"Yes","USA",22,"SEO",9
237810,"Yes","CHN",30,"SEO",4
237811,"Yes","DEU",20,"SEO",7
237812,"Yes","CHN",29,"SEO",7
237813,"Yes","GBR",31,"direct",1
237814,"Yes","USA",44,"SEO",2
237815,"No","GBR",38,"SEO",3
237816,"Yes","USA",30,"direct",6
237817,"No","CHN",28,"SEO",5
237818,"Yes","CHN",21,"direct",6
237819,"Yes","CHN",21,"direct",5
237820,"No","DEU",26,"ads",12
237821,"Yes","CHN",18,"direct",2
237822,"No","USA",38,"ads",5
237823,"Yes","USA",29,"SEO",3
237824,"No","CHN",35,"SEO",3
237825,"Yes","USA",23,"ads",10
237826,"Yes","USA",24,"SEO",1
237827,"Yes","GBR",35,"direct",12
237828,"Yes","CHN",36,"ads",4
237829,"No","USA",37,"ads",3
237830,"Yes","GBR",50,"SEO",1
237831,"Yes","USA",47,"SEO",4
237832,"Yes","GBR",43,"SEO",3
237833,"Yes","USA",34,"direct",1
237834,"No","USA",27,"direct",8
237835,"Yes","GBR",17,"SEO",8
237836,"No","USA",35,"SEO",5
237837,"Yes","USA",29,"SEO",2
237838,"Yes","CHN",21,"SEO",9
237839,"Yes","CHN",18,"SEO",6
237840,"Yes","USA",29,"SEO",5
237841,"Yes","GBR",17,"SEO",2
237842,"No","USA",26,"ads",1
237843,"Yes","USA",47,"SEO",1
237844,"No","GBR",47,"SEO",6
237845,"No","CHN",36,"SEO",11
237846,"Yes","USA",37,"SEO",22
237847,"Yes","CHN",50,"direct",1
237848,"No","GBR",48,"SEO",7
237849,"No","GBR",37,"SEO",6
237850,"Yes","CHN",26,"SEO",2
237851,"Yes","USA",35,"SEO",1
237852,"Yes","CHN",31,"direct",1
237853,"Yes","CHN",55,"SEO",6
237854,"Yes","USA",19,"SEO",7
237855,"Yes","USA",30,"SEO",9
237856,"Yes","GBR",41,"SEO",2
237857,"Yes","USA",19,"direct",1
237858,"Yes","USA",26,"direct",7
237859,"No","CHN",27,"SEO",1
237860,"No","USA",21,"direct",4
237861,"Yes","USA",26,"SEO",4
237862,"No","GBR",17,"SEO",2
237863,"Yes","DEU",32,"SEO",6
237864,"Yes","CHN",27,"ads",2
237865,"No","USA",31,"SEO",6
237866,"Yes","CHN",34,"SEO",8
237867,"Yes","USA",23,"SEO",3
237868,"Yes","CHN",36,"direct",1
237869,"Yes","CHN",35,"SEO",4
237870,"Yes","CHN",62,"SEO",11
